drug,name,reg_num,trade_mark,,comment_refs
Romidepsin,Ромидепсин,,,,
Rucaparib,Рукапариб,,,,
Ruxolitinib,Руксолитиниб,ЛП-002028,Джакави,,
Sacituzumab govitecan-hziy,Сацитузумаб говитекан,,,,
Selpercatinib,Селперкатиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213246s008lbl.pdf
Selumetinib,Селуметиниб,ЛП-007563,Коселуго,,
Siltuximab,Силтуксимаб,,,,
Sirolimus,Сиролимус,ЛСР-002186/09,Рапамун,,
Sonidegib,Сонидегиб,,,,
Sorafenib,Сорафениб,ЛСР-000093,Нексавар,,
Sotorasib,Соторасиб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214665s000lbl.pdf
Sunitinib,Сунитиниб,ЛСР-002516/07,Сутент,,
Talazoparib,Талазопариб,ЛП-006116,Талценна,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211651s000lbl.pdf
Tamoxifen,Тамоксифен,П N008975,Тамоксифен,,
Tecemotide,Тецемотид,,,,
Temozolomide,Темозоломид,ЛП-000847,Темодал,,
Temsirolimus,Темсиролимус,ЛСР-001305/10,Торизел,,
Thalidomide,Талидомид,,,,
Tivantinib,Тивантиниб,,,,
Tivozanib,Тивозаниб,,,,
Tocilizumab,Тоцилизумаб,ЛСР-003012/09,Актемра,,
Toremifene,Торемифен,П N014925/01,Фарестон,,
Tovorafenib,Товорафениб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf
Trametinib,Траметиниб,ЛП-002945,Мекинист,,
Trastuzumab,Трастузумаб,П N012038/01,Герцептин,,
Trebananib,Требананиб,,,,
Tretinoin,Третиноин,П N014774/01,Весаноид,,
Triptorelin,Трипторелин,П N011452/01,Диферелин,,
Vandetanib,Вандетаниб,ЛП-002238,Капрелса,,
Veliparib,Велипариб,,,,
Vemurafenib,Вемурафениб,ЛП-002271,Зелбораф,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202429s012lbl.pdf
Venetoclax,Венетоклакс,ЛП-004678,Венклекста,,
Vinblastine,Винбластин,Р N000203/01,Винбластин,,
Vincristine,Винкристин,П N015355/01,Винкристин,,
Vindesine,Виндезин,,,,
Vinorelbine,Винорелбин,ЛС-000704,Навельбин,,
Vismodegib,Висмодегиб,ЛП-002252,Эриведж,,
Vorasidenib,Воразидениб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218784s000lbl.pdf
Vorinostat,Вориностат,ЛП-001458,Золинза,,
Zolbetuximab,Золбетуксимаб,,,,
